Ticker,Company,Price,Market Cap,Score
CFG,"Citizens Financial Group, Inc.",67.99,28751742976.0,55
CLX,Clorox Company (The),90.6,10955473920.0,65
CME,CME Group Inc.,245.2,88596340736.0,73
CMS,CMS Energy Corporation,73.8,22798268416.0,63
KO,Coca-Cola Company (The),79.53,342176432128.0,65
CTSH,Cognizant Technology Solutions ,41.83,19785590784.0,78
COHR,Coherent Corp.,425.48,83240624128.0,60
COIN,"Coinbase Global, Inc.",164.84,43428872192.0,50
CL,Colgate-Palmolive Company,88.67,70952787968.0,55
CMCSA,Comcast Corporation,22.32,79732137984.0,75
FIX,"Comfort Systems USA, Inc.",2066.51,72708022272.0,75
CAG,"ConAgra Brands, Inc.",12.85,6147917824.0,50
COP,ConocoPhillips,109.7,133646852096.0,73
ED,"Consolidated Edison, Inc.",106.92,39403196416.0,55
STZ,"Constellation Brands, Inc.",141.51,24371513344.0,75
CEG,Constellation Energy Corporatio,275.53,98392317952.0,63
COO,"The Cooper Companies, Inc.",65.42,12758902784.0,60
CPRT,"Copart, Inc.",29.48,28398331904.0,73
GLW,Corning Incorporated,209.83,180587642880.0,58
CPAY,"Corpay, Inc.",347.17,22691698688.0,60
CTVA,"Corteva, Inc.",78.86,52743143424.0,60
CSGP,"CoStar Group, Inc.",29.22,11932153856.0,60
COST,Costco Wholesale Corporation,951.35,421903564800.0,65
CRH,CRH PLC,111.25,74337271808.0,63
CRWD,"CrowdStrike Holdings, Inc.",675.44,171943264256.0,60
CCI,Crown Castle Inc.,83.12,36277886976.0,50
CSX,CSX Corporation,46.2,85846016000.0,65
CMI,Cummins Inc.,724.93,100032413696.0,65
CVS,CVS Health Corporation,101.3,129251442688.0,50
DHR,Danaher Corporation,178.19,126117650432.0,60
DRI,"Darden Restaurants, Inc.",212.0,24281419776.0,60
DDOG,"Datadog, Inc.",221.37,78798905344.0,60
DVA,DaVita Inc.,209.68,13458310144.0,60
DECK,Deckers Outdoor Corporation,105.57,14661662720.0,80
DE,Deere & Company,598.59,161683537920.0,48
DELL,Dell Technologies Inc.,418.71,270546272256.0,50
DAL,"Delta Air Lines, Inc.",85.92,56448954368.0,75
DVN,Devon Energy Corporation,43.05,49654005760.0,68
DXCM,"DexCom, Inc.",69.07,26652248064.0,75
FANG,"Diamondback Energy, Inc.",187.8,52830642176.0,60
DLR,"Digital Realty Trust, Inc.",195.54,69944475648.0,50
DG,Dollar General Corporation,112.46,24807174144.0,63
DLTR,"Dollar Tree, Inc.",113.93,21894451200.0,60
D,"Dominion Energy, Inc.",68.04,59842031616.0,55
DPZ,Domino's Pizza Inc,295.11,9815910400.0,55
DASH,"DoorDash, Inc.",172.08,74978476032.0,60
DOV,Dover Corporation,229.4,30891325440.0,68
DOW,Dow Inc.,30.79,22191630336.0,50
DHI,"D.R. Horton, Inc.",155.94,44221407232.0,78
DTE,DTE Energy Company,146.83,30544797696.0,53
DUK,Duke Energy Corporation (Holdin,123.52,96295723008.0,55
DD,"DuPont de Nemours, Inc.",48.19,19519754240.0,60
ETN,"Eaton Corporation, PLC",435.78,169213378560.0,65
EBAY,eBay Inc.,104.94,46593359872.0,70
SATS,EchoStar Corporation,106.4,30836156416.0,40
ECL,Ecolab Inc.,269.34,75802378240.0,65
EIX,Edison International,72.2,27782121472.0,58
EW,Edwards Lifesciences Corporatio,85.88,49449701376.0,68
EA,Electronic Arts Inc.,202.97,50895028224.0,68
ELV,"Elevance Health, Inc.",394.82,85740052480.0,63
EME,"EMCOR Group, Inc.",868.88,38693457920.0,75
EMR,Emerson Electric Company,150.21,84132618240.0,58
ETR,Entergy Corporation,112.2,51374903296.0,58
EOG,"EOG Resources, Inc.",132.83,70749052928.0,78
EQT,EQT Corporation,51.84,32424779776.0,78
EFX,"Equifax, Inc.",153.49,18516205568.0,58
EQIX,"Equinix, Inc.",1115.94,110058733568.0,58
EQR,Equity Residential,64.73,25010120704.0,50
ERIE,Erie Indemnity Company,211.65,11067150336.0,80
ESS,"Essex Property Trust, Inc.",276.28,19042928640.0,58
EL,"Estee Lauder Companies, Inc. (T",84.53,30582523904.0,40
EG,"Everest Group, Ltd.",339.3,13426642944.0,78
EVRG,"Evergy, Inc.",83.25,19190208512.0,55
ES,Eversource Energy (D/B/A),70.12,26370732032.0,63
EXC,Exelon Corporation,45.94,47006179328.0,55
EXE,Expand Energy Corporation,88.44,21157400576.0,78
EXPE,"Expedia Group, Inc.",238.02,28567656448.0,60
EXPD,Expeditors International of Was,163.15,21338572800.0,75
EXR,Extra Space Storage Inc,146.08,32238968832.0,50
XOM,Exxon Mobil Corporation,138.47,573950853120.0,65
FFIV,"F5, Inc.",391.27,22075158528.0,75
FDS,FactSet Research Systems Inc.,218.62,7964573184.0,75
FICO,Fair Isaac Corporation,1090.85,25297799168.0,50
FAST,Fastenal Company,46.12,52947378176.0,75
FRT,Federal Realty Investment Trust,121.72,10579707904.0,63
FDX,FedEx Corporation,328.78,78449131520.0,63
FDXF,"FedEx Freight Holding Company, ",160.94,23964958720.0,50
FIS,Fidelity National Information S,37.72,19496681472.0,68
FITB,Fifth Third Bancorp,53.61,48587362304.0,55
FSLR,"First Solar, Inc.",263.11,28272052224.0,73
FE,FirstEnergy Corp.,46.76,27047440384.0,50
FISV,"Fiserv, Inc.",47.18,25158922240.0,60
FLEX,Flex Ltd.,155.81,57085341696.0,58
F,Ford Motor Company,14.11,56224014336.0,40
FTNT,"Fortinet, Inc.",145.39,106519748608.0,65
FTV,Fortive Corporation,61.67,18800779264.0,50
FOXA,Fox Corporation,49.39,20738891776.0,68
FOX,Fox Corporation,44.93,18866135040.0,68
BEN,"Franklin Resources, Inc.",33.93,17631289344.0,60
FCX,"Freeport-McMoRan, Inc.",69.21,99493511168.0,68
GRMN,Garmin Ltd.,236.34,45579636736.0,68
IT,"Gartner, Inc.",125.73,8417861120.0,65
GE,GE Aerospace,355.12,371039895552.0,65
GEHC,GE HealthCare Technologies Inc.,60.64,27584636928.0,68
GEV,GE Vernova Inc.,1127.59,303005990912.0,75
GEN,Gen Digital Inc.,23.01,13862002688.0,65
GNRC,Generac Holdlings Inc.,295.54,17398050816.0,50
GD,General Dynamics Corporation,343.36,92854902784.0,73
GIS,"General Mills, Inc.",33.34,17792931840.0,65
GM,General Motors Company,80.43,72520933376.0,50
GPC,Genuine Parts Company,105.11,14623125504.0,50
GILD,"Gilead Sciences, Inc.",124.87,155034845184.0,70
GPN,Global Payments Inc.,65.09,17804947456.0,55
GL,Globe Life Inc.,172.05,13358781440.0,75
GDDY,GoDaddy Inc.,74.99,9929414656.0,65
GS,"Goldman Sachs Group, Inc. (The)",1106.37,326387367936.0,53
HAL,Halliburton Company,35.17,29380937728.0,63
HIG,"The Hartford Insurance Group, I",129.5,35499941888.0,85
HAS,"Hasbro, Inc.",84.39,11940399104.0,40
HCA,"HCA Healthcare, Inc.",376.99,83631390720.0,60
DOC,"Healthpeak Properties, Inc.",19.98,13774605312.0,50
HSIC,"Henry Schein, Inc.",78.67,8961830912.0,55
HSY,The Hershey Company,170.89,34663903232.0,65
HPE,Hewlett Packard Enterprise Comp,48.4,64091451392.0,50
HLT,Hilton Worldwide Holdings Inc.,342.93,78067449856.0,50
HD,"Home Depot, Inc. (The)",326.62,325678235648.0,60
HON,Honeywell International Inc.,228.11,144542613504.0,55
HRL,Hormel Foods Corporation,24.11,13267352576.0,60
HST,"Host Hotels & Resorts, Inc.",25.13,17434345472.0,63
HWM,Howmet Aerospace Inc.,280.36,112174129152.0,65
HPQ,HP Inc.,23.54,21527865344.0,60
HUBB,Hubbell Inc,539.39,28502327296.0,65
HUM,Humana Inc.,360.72,43308584960.0,50
HBAN,Huntington Bancshares Incorpora,17.05,34562576384.0,60
HII,"Huntington Ingalls Industries, ",278.19,10961806336.0,63
IBM,International Business Machines,252.22,237057867776.0,60
IEX,IDEX Corporation,225.36,16680033280.0,68
IDXX,"IDEXX Laboratories, Inc.",545.73,43048816640.0,65
ITW,Illinois Tool Works Inc.,265.31,76329689088.0,60
INCY,Incyte Corporation,103.66,20709419008.0,85
IR,Ingersoll Rand Inc.,77.87,30473400320.0,60
PODD,Insulet Corporation,138.97,9625711616.0,65
INTC,Intel Corporation,140.94,708364402688.0,60
IBKR,"Interactive Brokers Group, Inc.",96.82,164228235264.0,65
ICE,Intercontinental Exchange Inc.,131.34,74274414592.0,63
IFF,International Flavors & Fragran,75.95,19390298112.0,65
IP,International Paper Company,36.89,19533881344.0,50
INTU,Intuit Inc.,257.77,70509625344.0,80
ISRG,"Intuitive Surgical, Inc.",402.95,142709932032.0,58
IVZ,Invesco Ltd,28.78,12758077440.0,60
INVH,Invitation Homes Inc.,28.44,16894554112.0,50
IQV,"IQVIA Holdings, Inc.",167.81,28007489536.0,60
IRM,Iron Mountain Incorporated (Del,131.86,39231602688.0,50
JBHT,"J.B. Hunt Transport Services, I",273.48,25788946432.0,68
JBL,Jabil Inc.,377.24,39799808000.0,55
JKHY,"Jack Henry & Associates, Inc.",123.42,8769087488.0,80
J,Jacobs Solutions Inc.,118.7,14016199680.0,50
JNJ,Johnson & Johnson,231.29,556765151232.0,65
JCI,Johnson Controls International ,148.21,90425237504.0,58
JPM,JP Morgan Chase & Co.,331.48,888204427264.0,63
KVUE,Kenvue Inc.,17.86,34291355648.0,63
KDP,Keurig Dr Pepper Inc.,30.87,42000474112.0,55
KEY,KeyCorp,22.83,24641986560.0,60
KEYS,Keysight Technologies Inc.,373.34,63802073088.0,68
KMB,Kimberly-Clark Corporation,100.5,33360005120.0,60
KIM,Kimco Realty Corporation (HC),24.69,16650683392.0,50
KMI,"Kinder Morgan, Inc.",32.25,71750631424.0,63
KKR,KKR & Co. Inc.,96.9,90353590272.0,50
KLAC,KLA Corporation,269.16,351597035520.0,65
KHC,The Kraft Heinz Company,22.03,26122682368.0,50
KR,Kroger Company (The),55.76,34180878336.0,48
LHX,"L3Harris Technologies, Inc.",285.83,53248679936.0,60
LH,Labcorp Holdings Inc.,254.43,20863258624.0,63
LRCX,Lam Research Corporation,409.54,512158859264.0,75
LVS,Las Vegas Sands Corp.,47.8,31674062848.0,60
LDOS,"Leidos Holdings, Inc.",104.84,13187347456.0,75
LEN,Lennar Corporation,87.44,21536323584.0,70
LII,"Lennox International, Inc.",536.04,18654173184.0,70
LLY,Eli Lilly and Company,1102.08,982770319360.0,65
LIN,Linde plc,516.71,238899478528.0,58
LYV,"Live Nation Entertainment, Inc.",170.56,39691493376.0,48
LMT,Lockheed Martin Corporation,493.6,113806204928.0,60
L,Loews Corporation,108.13,22249789440.0,70
LOW,"Lowe's Companies, Inc.",214.4,120278392832.0,55
LULU,lululemon athletica inc.,105.43,11971989504.0,85
LITE,Lumentum Holdings Inc.,893.93,69547753472.0,65
LYB,LyondellBasell Industries NV,58.52,18889365504.0,50
MTB,M&T Bank Corporation,227.73,33349931008.0,68
MPC,Marathon Petroleum Corporation,247.29,72193007616.0,70
MAR,Marriott International,384.19,101306531840.0,50
MRSH,Marsh,160.12,77144932352.0,70
MLM,"Martin Marietta Materials, Inc.",609.88,36620791808.0,50
MRVL,"Marvell Technology, Inc.",307.86,269547782144.0,68
MAS,Masco Corporation,73.58,14843620352.0,60
MA,Mastercard Incorporated,484.09,427734106112.0,55
MKC,"McCormick & Company, Incorporat",45.73,12294199296.0,75
MCD,McDonald's Corporation,270.1,191907643392.0,55
MCK,McKesson Corporation,744.85,87205355520.0,55
MDT,Medtronic plc.,79.27,101469175808.0,55
MRK,"Merck & Company, Inc.",115.48,285215358976.0,58
META,"Meta Platforms, Inc.",563.85,1431289856000.0,80
MET,"MetLife, Inc.",87.56,56339324928.0,63
MTD,"Mettler-Toledo International, I",1164.07,23523059712.0,50
MGM,MGM Resorts International,46.57,11914991616.0,48
MCHP,Microchip Technology Incorporat,102.71,55676964864.0,50
MU,"Micron Technology, Inc.",1211.38,1366114435072.0,75
MSFT,Microsoft Corporation,367.34,2728761229312.0,80
MAA,Mid-America Apartment Communiti,132.13,15766629376.0,50
MRNA,"Moderna, Inc.",59.345,23547281408.0,60
TAP,Molson Coors Beverage Company,39.64,7434535936.0,50
MDLZ,"Mondelez International, Inc.",59.51,76389998592.0,58
MPWR,"Monolithic Power Systems, Inc.",1537.88,75556044800.0,68
MNST,Monster Beverage Corporation,93.02,90974314496.0,75
MCO,Moody's Corporation,447.33,78138007552.0,55
MS,Morgan Stanley,227.09,358185598976.0,53
MOS,Mosaic Company (The),22.0,6992626688.0,60
MSI,"Motorola Solutions, Inc.",392.23,65108451328.0,55
MSCI,MSCI Inc.,580.85,42243821568.0,50
NDAQ,"Nasdaq, Inc.",82.61,46719324160.0,63
NTAP,"NetApp, Inc.",158.31,31016081408.0,60
NFLX,"Netflix, Inc.",72.88,306883002368.0,70
NEM,Newmont Corporation,101.8,108676874240.0,85
NWSA,News Corporation,24.61,13388037120.0,60
NWS,News Corporation,27.92,15188703232.0,60
NEE,"NextEra Energy, Inc.",86.08,179528908800.0,63
NKE,"Nike, Inc.",43.19,63959511040.0,58
NI,NiSource Inc,47.63,22835691520.0,55
NDSN,Nordson Corporation,295.06,16440137728.0,58
NSC,Norfolk Southern Corporation,304.17,68314759168.0,58
NTRS,Northern Trust Corporation,175.56,32486897664.0,63
NOC,Northrop Grumman Corporation,507.33,72057839616.0,70
NCLH,Norwegian Cruise Line Holdings ,20.04,9200567296.0,60
NRG,"NRG Energy, Inc.",138.91,29308131328.0,40
NUE,Nucor Corporation,244.93,55780589568.0,73
NVDA,NVIDIA Corporation,208.65,5053711646720.0,75
NVR,"NVR, Inc.",6352.55,17147386880.0,80
NXPI,NXP Semiconductors N.V.,323.24,81608744960.0,65
ORLY,"O'Reilly Automotive, Inc.",85.63,70962872320.0,50
OXY,Occidental Petroleum Corporatio,52.0,51721003008.0,60
ODFL,"Old Dominion Freight Line, Inc.",219.52,45653200896.0,75
OMC,Omnicom Group Inc.,72.55,20677201920.0,50
ON,ON Semiconductor Corporation,131.55,51147063296.0,60
OKE,"ONEOK, Inc.",86.29,54365532160.0,63
ORCL,Oracle Corporation,175.07,503509417984.0,55
OTIS,Otis Worldwide Corporation,72.48,27811741696.0,55
PCAR,PACCAR Inc.,120.12,63217504256.0,58
PKG,Packaging Corporation of Americ,234.03,20851757056.0,58
PLTR,Palantir Technologies Inc.,119.5,286478794752.0,75
PANW,"Palo Alto Networks, Inc.",286.4,233415999488.0,60
PSKY,Paramount Skydance Corporation,9.89,11068622848.0,50
PH,Parker-Hannifin Corporation,962.14,121312763904.0,65
PAYX,"Paychex, Inc.",95.93,34370842624.0,55
PYPL,"PayPal Holdings, Inc.",42.34,37348343808.0,75
PNR,Pentair plc.,74.03,11963657216.0,63
PEP,"Pepsico, Inc.",140.71,192342261760.0,60
PFE,"Pfizer, Inc.",25.08,142942060544.0,55
PCG,Pacific Gas & Electric Co.,16.63,36622995456.0,60
PM,Philip Morris International Inc,173.17,269895630848.0,55
PSX,Phillips 66,168.41,67521466368.0,63
PNW,Pinnacle West Capital Corporati,102.43,12413201408.0,45
PNC,"PNC Financial Services Group, I",234.71,94251237376.0,68
PPG,"PPG Industries, Inc.",118.92,26507268096.0,70
PPL,PPL Corporation,35.59,26776147968.0,55
PFG,Principal Financial Group Inc,111.23,24027058176.0,73
PG,Procter & Gamble Company (The),147.68,343887478784.0,70
PGR,Progressive Corporation (The),207.38,120736636928.0,85
PLD,"Prologis, Inc.",143.83,134775037952.0,50
PRU,"Prudential Financial, Inc.",108.26,37601419264.0,68
PEG,Public Service Enterprise Group,80.61,40169689088.0,63
PTC,PTC Inc.,115.0,13283166208.0,85
PSA,Public Storage,320.22,56224116736.0,65
PHM,"PulteGroup, Inc.",125.62,23928895488.0,78
PWR,"Quanta Services, Inc.",740.14,111065513984.0,58
QCOM,QUALCOMM Incorporated,221.9,233882599424.0,70
DGX,Quest Diagnostics Incorporated,193.58,21428615168.0,63
Q,"Qnity Electronics, Inc.",175.64,36768337920.0,50
RL,Ralph Lauren Corporation,410.92,24456456192.0,65
RJF,"Raymond James Financial, Inc.",156.65,30528428032.0,78
RTX,RTX Corporation,181.83,244867448832.0,58
O,Realty Income Corporation,60.58,56490401792.0,50
REG,Regency Centers Corporation,77.36,14461289472.0,50
REGN,"Regeneron Pharmaceuticals, Inc.",612.5,64213905408.0,78
RF,Regions Financial Corporation,28.75,24534661120.0,68
RSG,"Republic Services, Inc.",204.36,62874234880.0,58
RMD,ResMed Inc.,188.45,27335874560.0,80
RVTY,"Revvity, Inc.",99.04,11048880128.0,60
HOOD,"Robinhood Markets, Inc.",105.71,95192391680.0,65
ROK,"Rockwell Automation, Inc.",478.08,53197848576.0,65
ROL,"Rollins, Inc.",44.41,21381799936.0,65
ROP,"Roper Technologies, Inc.",325.09,32807223296.0,55
ROST,"Ross Stores, Inc.",236.97,76015493120.0,65
RCL,Royal Caribbean Cruises Ltd.,309.36,82968797184.0,60
SPGI,S&P Global Inc.,407.39,120587444224.0,68
CRM,"Salesforce, Inc.",150.12,122948272128.0,63
SNDK,Sandisk Corporation,2273.73,336716136448.0,75
SBAC,SBA Communications Corporation,187.59,19896360960.0,55
SLB,SLB Limited,47.95,71688019968.0,73
STX,Seagate Technology Holdings PLC,1094.04,245315502080.0,55
SRE,DBA Sempra,91.62,59892674560.0,50
NOW,"ServiceNow, Inc.",93.01,95921963008.0,68
SHW,Sherwin-Williams Company (The),316.9,78158823424.0,55
SPG,"Simon Property Group, Inc.",214.57,81532231680.0,65
SWKS,"Skyworks Solutions, Inc.",76.18,11457927168.0,60
SJM,The J.M. Smucker Company,107.19,11433114624.0,50
SW,Smurfit WestRock plc,45.39,23805423616.0,50
SNA,Snap-On Incorporated,390.7,20239009792.0,73
SOLV,Solventum Corporation,73.56,12738732032.0,75
SO,Southern Company (The),93.43,105323741184.0,63
LUV,Southwest Airlines Company,48.57,23739740160.0,58
SWK,"Stanley Black & Decker, Inc.",86.31,13417369600.0,50
SBUX,Starbucks Corporation,100.15,114140954624.0,50
STT,State Street Corporation,173.71,48077205504.0,63
STLD,"Steel Dynamics, Inc.",250.98,36194525184.0,68
STE,STERIS plc (Ireland),200.4,19530518528.0,68
SYK,Stryker Corporation,304.69,116806197248.0,58
SMCI,"Super Micro Computer, Inc.",35.46,22938116096.0,63
SYF,Synchrony Financial,75.71,25466591232.0,75
SNPS,"Synopsys, Inc.",464.58,88957460480.0,60
SYY,Sysco Corporation,77.98,37288681472.0,60
TMUS,"T-Mobile US, Inc.",180.06,194861776896.0,53
TROW,"T. Rowe Price Group, Inc.",107.99,23138650112.0,78
TTWO,"Take-Two Interactive Software, ",239.57,44480163840.0,50
TPR,"Tapestry, Inc.",149.2,30145071104.0,55
TRGP,"Targa Resources, Inc.",264.51,56775462912.0,55
TGT,Target Corporation,129.73,58922209280.0,70
TEL,TE Connectivity plc,212.69,62083321856.0,80
TDY,Teledyne Technologies Incorpora,616.65,28568862720.0,60
TER,"Teradyne, Inc.",457.0,71539769344.0,75
TSLA,"Tesla, Inc.",405.05,1521255841792.0,60
TXN,Texas Instruments Incorporated,332.28,302405648384.0,65
TPL,Texas Pacific Land Corporation,361.11,24907356160.0,75
TXT,Textron Inc.,86.94,15117907968.0,63
TMO,Thermo Fisher Scientific Inc,464.01,172436078592.0,58
TJX,"TJX Companies, Inc. (The)",164.17,181359312896.0,65
TKO,"TKO Group Holdings, Inc.",197.26,37701570560.0,50
TTD,"The Trade Desk, Inc.",18.02,8471352832.0,73
TSCO,Tractor Supply Company,29.81,15633842176.0,65
TT,Trane Technologies plc,491.59,108668657664.0,65
TDG,Transdigm Group Incorporated,1295.9,72484331520.0,50
TRV,"The Travelers Companies, Inc.",310.61,66049564672.0,85
TRMB,Trimble Inc.,49.23,11476079616.0,60
TFC,Truist Financial Corporation,48.76,60749070336.0,60
TYL,"Tyler Technologies, Inc.",275.27,11324760064.0,60
TSN,"Tyson Foods, Inc.",55.51,19546701824.0,60
USB,U.S. Bancorp,58.68,91407695872.0,68
UBER,"Uber Technologies, Inc.",71.43,145402839040.0,80
UDR,"UDR, Inc.",37.74,13983260672.0,58
ULTA,"Ulta Beauty, Inc.",465.06,19992608768.0,70
UNP,Union Pacific Corporation,259.91,154311999488.0,70
UAL,"United Airlines Holdings, Inc.",118.68,38519934976.0,75
UPS,"United Parcel Service, Inc.",107.24,91154669568.0,70
URI,"United Rentals, Inc.",1092.68,68452642816.0,65
UNH,UnitedHealth Group Incorporated,406.68,369324163072.0,58
UHS,"Universal Health Services, Inc.",142.64,8634905600.0,75
VLO,Valero Energy Corporation,243.78,72386273280.0,73
VEEV,Veeva Systems Inc.,153.16,24879816704.0,68
VTR,"Ventas, Inc.",83.04,40371535872.0,50
VLTO,Veralto Corp,82.95,20372457472.0,70
VRSN,"VeriSign, Inc.",247.69,22539790336.0,50
VRSK,"Verisk Analytics, Inc.",168.99,22141380608.0,50
VZ,Verizon Communications Inc.,45.36,189403348992.0,68
VRTX,Vertex Pharmaceuticals Incorpor,466.79,118473834496.0,75
VRT,"Vertiv Holdings, LLC",357.96,137495576576.0,65
VTRS,Viatris Inc.,15.38,17910820864.0,50
VICI,VICI Properties Inc.,26.09,28093194240.0,68
V,Visa Inc.,326.6,621109510144.0,65
VST,Vistra Corp.,167.26,56397135872.0,55
VMC,Vulcan Materials Company (Holdi,304.39,39496093696.0,58
WRB,W.R. Berkley Corporation,67.14,24994660352.0,85
GWW,"W.W. Grainger, Inc.",1341.42,63332626432.0,65
